TMTID(GPP),FSN,CHANGEDATE
1089346,"alprazolam 250 mcg tablet, 10 tablet, 1 blister (GPP)",20190216
1132428,"alprazolam 250 mcg tablet, 10 tablet, 1 strip (GPP)",20191115
1089367,"alprazolam 250 mcg tablet, 100 tablet (10 x 10 tablet blister), 1 box (GPP)",20190216
1132444,"alprazolam 250 mcg tablet, 100 tablet (10 x 10 tablet strip), 1 box (GPP)",20191115
1089248,"alprazolam 250 mcg tablet, 500 tablet, 1 bottle (GPP)",20190216
1089269,"alprazolam 500 mcg tablet, 10 tablet, 1 blister (GPP)",20190216
1073298,"alprazolam 500 mcg tablet, 10 tablet, 1 strip (GPP)",20190216
1089398,"alprazolam 500 mcg tablet, 100 tablet (10 x 10 tablet blister), 1 box (GPP)",20190216
1073312,"alprazolam 500 mcg tablet, 100 tablet (10 x 10 tablet strip), 1 box (GPP)",20190216
1089282,"alprazolam 500 mcg tablet, 500 tablet (50 x 10 tablet blister), 1 box (GPP)",20190216
1098798,"alprostadil 500 mcg/1 mL concentrate for solution for infusion, 5 x 1 mL ampoule, 1 box (GPP)",20190216
1281818,"alteplase 2 mg powder for solution for injection, 1 vial (GPP)",20230902
1097413,"alteplase 50 mg powder and solvent for solution for injection/infusion, 1 vial, 1 box (GPP)",20190216
1153258,"aluminium hydroxide 200 mg/5 mL oral suspension, 240 mL bottle (GPP)",20200719
1255803,"aluminium hydroxide 220 mg/5 mL + magnesium hydroxide 120 mg/5 mL + simeticone 16.67 mg/5 mL oral suspension, 240 mL bottle (GPP)",20230217
1126506,"aluminium hydroxide 220 mg/5 mL + magnesium hydroxide 120 mg/5 mL + simeticone 20 mg/5 mL oral suspension, 240 mL bottle, 1 bottle (GPP)",20191004
1047264,"aluminium hydroxide 220 mg/5 mL + magnesium hydroxide 120 mg/5 mL oral suspension, 240 mL bottle, 1 bottle (GPP)",20181217
