TMTID(GP),FSN,CHANGEDATE
857865,aluminium hydroxide 240 mg + magnesium hydroxide 85 mg tablet (GP),20141019
643040,aluminium hydroxide 250 mg + kaolin 50 mg + magnesium trisilicate 350 mg tablet (GP),20131005
738137,aluminium hydroxide 250 mg + magnesium hydroxide 100 mg + magnesium trisilicate 300 mg + simeticone 40 mg tablet (GP),20140214
786760,aluminium hydroxide 250 mg + magnesium hydroxide 100 mg + magnesium trisilicate 300 mg tablet (GP),20140504
908880,aluminium hydroxide 250 mg + magnesium hydroxide 150 mg + magnesium trisilicate 100 mg tablet (GP),20150228
758714,aluminium hydroxide 250 mg + magnesium hydroxide 200 mg + simeticone 50 mg chewable tablet (GP),20140407
748001,aluminium hydroxide 250 mg + magnesium hydroxide 250 mg + simeticone 50 mg chewable tablet (GP),20140324
743495,aluminium hydroxide 250 mg + magnesium trisilicate 250 mg tablet (GP),20140304
877176,aluminium hydroxide 250 mg + magnesium trisilicate 350 mg + simeticone 100 mg tablet (GP),20150105
740582,aluminium hydroxide 250 mg + magnesium trisilicate 350 mg tablet (GP),20140304
831658,aluminium hydroxide 250 mg + magnesium trisilicate 500 mg tablet (GP),20140803
845099,aluminium hydroxide 250 mg/5 mL + magnesium hydroxide 100 mg/5 mL oral suspension (GP),20181103
781899,aluminium hydroxide 273 mg + magnesium trisilicate 560 mg chewable tablet (GP),20140504
775054,aluminium hydroxide 275 mg/5 mL oral suspension (GP),20181103
988655,aluminium hydroxide 275.33 mg/5 mL + magnesium hydroxide 75 mg/5 mL oral suspension (GP),20181103
709231,aluminium hydroxide 3.56 g/100 mL + magnesium hydroxide 1.8 g/100 mL oral suspension (GP),20140118
855226,aluminium hydroxide 300 mg + cuttle fish bone 200 mg + glycyrrhiza 20 mg + peppermint oil 15 mg tablet (GP),20141019
850224,aluminium hydroxide 300 mg + cuttle fish bone 200 mg tablet (GP),20140914
816148,aluminium hydroxide 300 mg + magnesium hydroxide 100 mg + simeticone 25 mg tablet (GP),20140616
