TMTID(SUBS),FSN,CHANGEDATE
682460,choriogonadotropin alfa (SUBS),20140104
679577,chorionic gonadotrophin (SUBS),20140104
931822,chromium (SUBS),20150418
1294177,chromium chloride hexahydrate (SUBS),20240328
833981,ciclesonide (SUBS),20140803
684558,ciclonium bromide (SUBS),20150801
740388,ciclopirox olamine (SUBS),20141012
223673,ciclosporin (SUBS),20130627
984141,cidofovir (SUBS),20160515
563283,cilastatin (SUBS),20131005
223687,cilazapril (SUBS),20130627
1241142,cilgavimab (SUBS),20220810
1111411,cilnidipine (SUBS),20190504
223694,cilostazol (SUBS),20130627
223706,cimetidine (SUBS),20130627
778858,cimicifuga racemosa (SUBS),20140420
666435,cinacalcet (SUBS),20131116
503464,cinchocaine (SUBS),20131018
809335,cineole (SUBS),20140602
777102,cinnamon oil (SUBS),20140420
269562,cinnarizine (SUBS),20130805
266337,ciprofloxacin (SUBS),20130805
283573,cisapride (SUBS),20130805
764343,cisatracurium (SUBS),20161106
223710,cisplatin (SUBS),20130627
974914,citic acid (SUBS),20160214
553452,citicoline (SUBS),20131005
905190,citrate (SUBS),20150228
734306,citric acid (SUBS),20140202
749009,citric acid anhydrous (SUBS),20140324
1031258,citric acid dihydrate (SUBS),20180518
1221197,citric acid monohydrate (SUBS),20220113
1174631,citronella oil (SUBS),20210211
1230116,citrulline (SUBS),20220330
958099,citrus bioflavonoids extract (SUBS),20150818
839752,citrus unshiu peel (SUBS),20140817
223723,cladribine (SUBS),20130627
263094,clarithromycin (SUBS),20130805
747925,clavulanate (SUBS),20150906
229089,clavulanic acid (SUBS),20130805
793336,clemizole (SUBS),20140519
694818,clevudine (SUBS),20140118
533482,clidinium bromide (SUBS),20130914
229748,clindamycin (SUBS),20130805
971273,clindamycin hydrochloride (SUBS),20160117
758250,clindamycin phosphate (SUBS),20140407
487779,clioquinol (SUBS),20170218
331262,clobazam (SUBS),20130805
495349,clobetasol (SUBS),20130830
644654,clobetasol propionate (SUBS),20131005
653367,clofarabine (SUBS),20131018
287314,clofazimine (SUBS),20130805
679900,clomifene citrate (SUBS),20160307
788215,clomiphene citrate (SUBS),20140504
642837,clomipramine hydrochloride (SUBS),20161106
245779,clonazepam (SUBS),20130805
715869,clonidine hydrochloride (SUBS),20161106
643848,clopamide (SUBS),20131005
223734,clopidogrel (SUBS),20130627
