TMTID(GPU),FSN,CHANGEDATE
911504,"alcohol 0.45 mL/15 mL + amyl acetate 37 mg/15 mL + castor oil 14.507 mL/15 mL + saccharin 6 mg/15 mL oral solution, 450 mL bottle (GPU)",20200119
1135461,"alcohol 0.45 mL/15 mL + amyl acetate 37 mg/15 mL + castor oil 14.507 mL/15 mL + saccharin 6 mg/15 mL oral solution, 60 mL bottle (GPU)",20200119
843949,"alcohol 460 mcL/5 mL + camphor 10 mg/5 mL + capsicum tincture 20 mcL/5 mL + compound cardamom tincture 45 mcL/5 mL + strong ginger tincture 25 mcL/5 mL oral solution, 240 mL bottle (GPU)",20140901
902349,"alcohol 50 mL/100 mL solution for injection, 20 mL bottle (GPU)",20150228
879237,"alcohol 70 mL/100 mL cutaneous solution, 450 mL bottle (GPU)",20150105
879263,"alcohol 70 mL/100 mL cutaneous solution, 60 mL bottle (GPU)",20150105
1016324,"alectinib 150 mg capsule, hard, 1 capsule (GPU)",20170929
1043696,"alemtuzumab 12 mg/1.2 mL concentrate for solution for infusion, 1.2 mL vial (GPU)",20181129
199908,"alendronic acid 10 mg tablet, 1 tablet (GPU)",20130627
740841,"alendronic acid 150 mg film-coated tablet, 1 tablet (GPU)",20140304
199949,"alendronic acid 5 mg + calcitriol 0.5 mcg gastro-resistant tablet, 1 tablet (GPU)",20141102
199912,"alendronic acid 5 mg tablet, 1 tablet (GPU)",20130627
851922,"alendronic acid 70 mg + colecalciferol 2800 iu tablet, 1 tablet (GPU)",20141004
199954,"alendronic acid 70 mg + colecalciferol 5600 iu tablet, 1 tablet (GPU)",20130627
1257249,"alendronic acid 70 mg effervescent tablet, 1 tablet (GPU)",20230316
199920,"alendronic acid 70 mg film-coated tablet, 1 tablet (GPU)",20130627
199931,"alendronic acid 70 mg tablet, 1 tablet (GPU)",20130627
235912,"alfacalcidol 0.25 mcg capsule, soft, 1 capsule (GPU)",20130805
265890,"alfacalcidol 0.25 mcg tablet, 1 tablet (GPU)",20130805
235965,"alfacalcidol 0.5 mcg capsule, soft, 1 capsule (GPU)",20130805
