SUBSID,VTMID
744642,744661
542660,542687
854928,854959
1323514,1323533
689319,1001966
225891,742564
225235,370211
341176,702149
748212,1049941
854667,1002677
763570,1022068
1128255,1128272
227471,227492
526843,526862
748064,266773
748064,614614
724610,726095
854803,854861
616837,643038
814263,814285
224888,222123
464955,464972
644216,782612
1004065,1004083
1134119,1134157
701214,1157450
223354,760586
816499,816512
535768,535781
757318,819250
665824,965747
225242,222467
602824,614343
492379,492398
490839,515281
1322848,1322882
769585,301712
223365,975875
595593,603624
687787,687804
871226,946973
237030,237341
274010,274034
711203,711226
918916,918959
811949,812034
813663,813685
531409,929342
748212,967420
523104,943144
1128238,1128272
1178718,1178739
1265246,1265267
670286,1043840
694077,986365
723402,723425
771155,771172
323231,830223
891527,926600
491988,493290
316519,758968
742322,795746
858076,624064
797623,994787
891527,891562
644829,644840
714975,714999
1305850,1305878
234754,234777
223527,271222
341176,1323204
223251,220457
225411,222621
247033,975777
279946,579269
858990,1126024
1250140,1250164
1293345,1293366
490716,501560
738298,744101
705683,751792
379592,526917
295029,295040
335039,821886
522886,525512
223354,993091
739885,734922
934450,1024076
748323,955336
875659,875671
338379,759033
721297,1027253
854764,1321576
223163,220333
657500,950571
1019362,1019389
854605,673940
225891,679294
223558,1131336
379592,379619
717531,717554
719696,730363
858076,1199548
1244729,1244740
739885,739902
777141,777211
1160102,1234534
722452,222405
824603,824626
263693,993585
1306136,1306158
660790,660816
265169,268533
689319,840573
809632,933249
519482,863412
225469,777211
595593,612286
517179,934677
560884,560948
1230116,1230137
744268,858758
781997,782011
860701,860764
869051,975643
234474,234490
272702,272741
224803,680095
807681,738128
293621,364956
263693,799342
1023375,1023399
694077,912337
263693,830321
803343,803362
223365,803900
748064,605908
725669,725682
871787,871804
1202493,1202515
1317347,1317368
263693,947297
223354,967514
776596,776614
531228,965747
734306,903293
225469,734323
505827,506579
1112074,1112090
323231,887293
254384,254402
689632,695874
255953,560589
669683,669743
560884,846133
765046,966041
748427,614565
521712,528522
491864,645168
682782,980971
897397,897418
530326,920432
1190082,1190105
742529,910812
571428,571444
732999,793050
764633,1028112
742529,781658
842874,842890
295967,803605
337870,337891
645272,645319
742322,742351
533482,533509
228990,371381
510153,780172
855938,855993
915122,915146
224032,221265
223308,541509
841574,841590
490759,1139145
225917,748709
490759,1021172
894270,1178739
293530,293553
748352,748375
1326504,1326527
237620,469765
717256,717273
265032,1148933
580278,699090
765112,765131
614481,924019
669568,672932
710258,992410
669048,1119409
225407,939382
822572,1304117
1002649,1279145
485337,998927
744268,956261
869149,839694
720415,720436
770976,933933
771619,920534
1001852,1001899
558118,738536
223354,830223
501709,501721
894236,894301
323231,886795
225371,222595
912430,912453
295967,295980
854786,1002677
493274,493290
569485,644167
335039,756602
840190,840220
689632,930128
650041,650060
1159067,1159080
680677,680696
851784,851807
492379,941709
707537,707559
871226,871242
763639,970476
225901,858198
602824,1031420
696815,647426
226973,975777
748323,748709
223251,220488
224391,697174
225891,910535
224362,221594
224315,220881
763591,792027
444322,444346
805018,931516
223308,220555
748427,748443
964015,697174
763570,1134671
1001834,1001899
495349,702359
860679,860764
717605,717622
233987,234000
223222,689860
223768,873433
869718,869739
265032,734663
858076,379748
822160,822187
521037,910812
788682,986365
731050,731078
870023,870047
690500,690528
788010,788068
